PortTown_Quest_npc_01_A_01;Esta carta no es suficiente. Si tuviera...
PortTown_Quest_npc_01_A_02;Oye, ¿no seréis por un casual custodios de mirages?
PortTown_Quest_npc_01_A_03;Estaba buscando unas [#ffffff73]escamas de pez[/#]. ¿No tendréis algunas para mí?
PortTown_Quest_npc_01_B;¡Me hacen muchísima falta! Os lo ruego.
PortTown_Quest_npc_01_C_01;¡Muchas gracias! Ahora sí que me atreveré a enviarle esta carta.
PortTown_Quest_npc_01_C_02;¿Que para qué las necesito? Para decorar con ellas mi carta de amor.
PortTown_Quest_npc_01_C_03;Es una tradición familiar: las [#ffffff73]escamas de pez[/#] traen buena suerte al pedir la mano a alguien.
PortTown_Quest_npc_01_C_04;¡No os riáis! Sé que unas [#ffffff73]escamas de pez[/#] no son la cosa más romántica del mundo, ¿pero os habéis parado alguna vez a examinarlas? ¡Son una preciosidad!
PortTown_Quest_npc_01_C_05;Bueno, me habéis hecho un gran favor, así que tomad.
PortTown_Quest_npc_01_D;No sé qué hacer... He terminado de decorar la carta, pero no me atrevo a enviársela.
PortTown_Quest_npc_01_E;Sin esas escamas no me atreveré a hacerlo.
